Wall_time,Episodes,Gold
1653682309.3128202,8054,120.0
1653682320.4447744,8061,120.0
1653682327.7779868,8065,154.0
1653682347.6138372,8077,148.0
1653682349.6586382,8078,120.0
1653682361.5302434,8085,106.0
1653682380.0899303,8096,136.0
1653682426.3450353,8122,130.0
1653682440.3065126,8130,80.0
1653682461.3489563,8142,120.0
1653682464.6443818,8144,196.0
1653682473.3327627,8149,120.0
1653682496.6595461,8163,120.0
1653682498.7084444,8164,120.0
1653682502.006913,8166,120.0
1653682532.333362,8184,120.0
1653682533.563091,8185,120.0
1653682545.7815268,8192,120.0
1653682559.0836856,8200,134.0
1653682561.1532893,8201,186.0
1653682586.7899325,8216,82.0
1653682588.8188813,8217,130.0
1653682608.4602852,8229,86.0
1653682610.5043194,8230,8.0
1653682655.3400557,8255,142.0
1653682692.5982223,8277,120.0
1653682705.9901743,8283,134.0
1653682712.0834644,8286,34.0
1653682714.3883293,8287,120.0
1653682722.6229997,8291,120.0
1653682735.1547248,8296,120.0
1653682746.3464894,8301,158.0
1653682832.2356608,8349,170.0
1653682837.6495173,8352,164.0
1653682857.2681139,8363,120.0
1653682862.0028696,8366,188.0
1653682871.793683,8372,192.0
1653682880.8790398,8377,120.0
1653682895.8599012,8385,174.0
1653682916.384594,8397,168.0
1653682941.5071816,8411,148.0
1653682950.1206133,8416,184.0
1653682983.4863412,8436,166.0
1653683020.5999973,8456,168.0
1653683022.9633527,8457,146.0
1653683030.9426997,8461,90.0
1653683085.7468772,8491,164.0
